2023-05-30 09:10:03.986 INFO  PID_IS_UNDEFINED --- [main] com.study.spring.mvc.ControllerAdvice2.Application - this is info
2023-05-30 09:10:48.343 INFO  PID_IS_UNDEFINED --- [main] com.study.spring.mvc.ControllerAdvice2.Application - this is info
2023-05-30 09:11:10.386 INFO  PID_IS_UNDEFINED --- [main] com.study.spring.mvc.ControllerAdvice2.Application - this is info
2023-05-30 09:13:24.411 INFO  PID_IS_UNDEFINED --- [test] com.study.spring.mvc.ControllerAdvice2.Application - this is info
2023-05-30 09:14:03.827 INFO  PID_IS_UNDEFINED --- [test] com.study.spring.mvc.ControllerAdvice2.Application - this is info
2023-05-30 09:14:26.819 INFO  PID_IS_UNDEFINED --- [main] com.study.spring.mvc.ControllerAdvice2.Application - this is info
2023-05-30 17:09:26.268 INFO  PID_IS_UNDEFINED --- [main] o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'webConfig' of type [com.study.spring.mvc.Exception.Tomcat.WebConfig$$EnhancerBySpringCGLIB$$205c8f8] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2023-05-30 17:09:28.182 INFO  PID_IS_UNDEFINED --- [main] o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2023-05-30 17:09:28.621 INFO  PID_IS_UNDEFINED --- [main] o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2916 ms
2023-05-30 17:09:29.585 INFO  PID_IS_UNDEFINED --- [main] o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2023-05-30 17:09:50.417 INFO  PID_IS_UNDEFINED --- [http-nio-8080-exec-1] org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2023-05-30 17:09:50.467 INFO  PID_IS_UNDEFINED --- [http-nio-8080-exec-1] org.springframework.web.servlet.DispatcherServlet - Completed initialization in 50 ms
2023-05-30 17:09:50.511 WARN  PID_IS_UNDEFINED --- [http-nio-8080-exec-1] org.springframework.web.servlet.PageNotFound - No mapping for GET /testModelAttr
